Seq,MPA_touchi,MPA,Percentage,Area
33862,2,BeringSea,0,0
33863,2,BeringSea,0,0
33864,2,BeringSea,0,0
33865,2,BeringSea,0,0
33866,2,BeringSea,0,0
34579,2,BeringSea,0,0
34580,2,BeringSea,0,0
34581,2,BeringSea,0,0
34582,2,BeringSea,0,0
34583,1,BeringSea,0.237911227,0.059477807
34584,1,BeringSea,0.234482013,0.058620503
34585,1,BeringSea,0.051284927,0.012821232
34586,2,BeringSea,0,0
34587,2,BeringSea,0,0
34588,2,BeringSea,0,0
34589,2,BeringSea,0,0
35297,2,BeringSea,0,0
35298,2,BeringSea,0,0
35299,2,BeringSea,0,0
35300,1,BeringSea,0.010190472,0.002547618
35301,1,BeringSea,0.321293194,0.080323298
35302,1,BeringSea,0.761737257,0.190434314
35303,1,BeringSea,0.999536548,0.249884137
35304,1,BeringSea,1,0.25
35305,1,BeringSea,0.97546079,0.243865198
35306,1,BeringSea,0.809989015,0.202497254
35307,1,BeringSea,0.597354925,0.149338731
35308,1,BeringSea,0.146588776,0.036647194
35309,2,BeringSea,0,0
35310,2,BeringSea,0,0
35311,2,BeringSea,0,0
35312,2,BeringSea,0,0
35313,2,BeringSea,0,0
35314,2,BeringSea,0,0
35315,2,BeringSea,0,0
35316,2,BeringSea,0,0
35317,2,BeringSea,0,0
35318,2,BeringSea,0,0
35319,2,BeringSea,0,0
35320,2,BeringSea,0,0
36015,2,BeringSea,0,0
36016,2,BeringSea,0,0
36017,2,BeringSea,0,0
36018,1,BeringSea,0.038719623,0.009679906
36019,1,BeringSea,0.417583188,0.104395797
36020,1,BeringSea,0.860677334,0.215169333
36021,1,BeringSea,1,0.25
36022,1,BeringSea,1,0.25
36023,1,BeringSea,1,0.25
36024,1,BeringSea,0.999747433,0.249936859
36025,1,BeringSea,1,0.25
36026,1,BeringSea,1,0.25
36027,1,BeringSea,0.977754294,0.244438573
36028,1,BeringSea,0.32006919,0.080017298
36029,1,BeringSea,0.085396111,0.021349028
36030,1,BeringSea,0.004257651,0.001064413
36031,1,BeringSea,0.031449992,0.007862498
36032,1,BeringSea,0.137009102,0.034252276
36033,1,BeringSea,0.147418046,0.036854512
36034,1,BeringSea,0.187750611,0.046937653
36035,1,BeringSea,0.033795927,0.008448982
36036,1,BeringSea,0.276791133,0.069197783
36037,1,BeringSea,0.532506066,0.133126516
36038,1,BeringSea,0.697595882,0.174398971
36039,1,BeringSea,0.227916342,0.056979086
36040,2,BeringSea,0,0
36733,2,BeringSea,0,0
36734,2,BeringSea,0,0
36735,2,BeringSea,0,0
36736,1,BeringSea,0.074093929,0.018523482
36737,1,BeringSea,0.492363823,0.123090956
36738,1,BeringSea,0.919321811,0.229830453
36739,1,BeringSea,0.999869632,0.249967408
36740,1,BeringSea,0.999834467,0.249958617
36741,1,BeringSea,0.999885706,0.249971426
36742,1,BeringSea,0.999919664,0.249979916
36743,1,BeringSea,0.999957966,0.249989491
36744,1,BeringSea,0.999997818,0.249999455
36745,1,BeringSea,1,0.25
36746,1,BeringSea,1,0.25
36747,1,BeringSea,1,0.25
36748,1,BeringSea,0.999919521,0.24997988
36749,1,BeringSea,1,0.25
36750,1,BeringSea,0.963824488,0.240956122
36751,1,BeringSea,0.978144064,0.244536016
36752,1,BeringSea,1,0.25
36753,1,BeringSea,1,0.25
36754,1,BeringSea,0.950517433,0.237629358
36755,1,BeringSea,0.899744342,0.224936085
36756,1,BeringSea,1,0.25
36757,1,BeringSea,0.999393868,0.249848467
36758,1,BeringSea,0.797524728,0.199381182
36759,1,BeringSea,0.069074687,0.017268672
36760,2,BeringSea,0,0
37451,2,BeringSea,0,0
37452,2,BeringSea,0,0
37453,2,BeringSea,0,0
37454,1,BeringSea,0.131250868,0.032812717
37455,1,BeringSea,0.57866665,0.144666663
