"taxon_key","scientific_name","common_name","phylum","sub_phylum","super_class","class","super_order","order","suborder_infraorder","family","genus","species","comments_names","is_retired","taxon_group_id","taxon_level_id","functional_group_id","commercial_group_id","commercial","isscaap_id","cell_id","super_target","fb_spec_code","slb_spec_code","cla_code","ord_code","fam_code","gen_code","spe_code","slb_cla_code","slb_ord_code","slb_fam_code","slb_gen_code","is_use","is_taxa_used","is_mariculture_only","is_baltic_only","sl_max","slbl_max_type","sl_max_2","comments_sl_max","tl","se_tl","comments_tl","lat_north","lat_south","min_depth","max_depth","loo","woo","k","a","b","comments_growth","has_habitat_index","has_map","map_year","vulnerability","resilience","updated_by","date_updated","lineage","true_min_depth","true_max_depth"
601456,"Etrumeus whiteheadi","Whitehead's round herring","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Clupeiformes","NA","Dussumieriidae","Etrumeus","whiteheadi","ASFIS2019: Changed common name from Whiteheads round herring to Whitehead's round herring (NB, 05/06/2019).",f,1,6,1,2,1,35,993,1,1456,,6,28,683,224,1456,,,,,f,t,f,f,22,"",,"",3.4,0.45,"",-22,-36,0,9999,22,68,0.71,0,3.11,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"20.65","High","Deng","2019-06-05","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Clupeiformes.NA.Dussumieriidae.Etrumeus.Whiteheadi","",""
605123,"Exocoetus monocirrhus","Barbel flyingfish","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Beloniformes","NA","Exocoetidae","Exocoetus","monocirrhus","",f,1,6,1,12,,37,,,5123,,6,51,206,64,5123,,,,,,,,f,20,"",,"",6,,"",32,-35,0,9999,,,,,,"",t,f,,"13.04","High","","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Beloniformes.NA.Exocoetidae.Exocoetus.Monocirrhus","",""
200538,"Chondrichthyes","Sharks, rays, chimaeras","Chordata","Vertebrata","Chondrichthyes","","","","","","","","",f,1,2,20,9,1,38,28,4,,,,,,,,,,,,f,t,f,f,150,"",,"",4,0.4,"",90,-90,10,9999,,,,,,"",t,t,,"","","","2018-10-09","Chordata.Vertebrata.Chondrichthyes","",""
400313,"Echeneidae","Remoras","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Echeneidae","","","",f,1,4,3,3,1,37,120,1,,,6,60,313,,,,,,,f,t,f,f,96,"",,"",3.22,0.14,"",45,-45,20,9999,,,,,,"",t,t,,"","","","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Echeneidae","",""
400176,"Percopsidae","Trout-perches","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Percopsiformes","NA","Percopsidae","","","",f,1,4,4,12,2,39,87,3,,,6,43,176,,,,,,,f,f,f,t,8,"",,"",3.58,0.01,"Mean TL of species in this class; seTL being StDev/Sqrt(N)",90,-90,10,61,,,,,,"For Percopsis transmontana (a freshwater species), FAO 2, endemic in Washington, USA (FAO 67). Min/Max depth from Percopsis omismonycus.",f,f,,"","","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Percopsiformes.NA.Percopsidae","",""
690023,"Illex argentinus","Argentine shortfin squid","Mollusca","NA","NA","Cephalopoda","Coleoidea","Teuthida","NA","Ommastrephidae","Illex","argentinus","",f,3,6,25,12,1,57,1845,5,,57274,901063,910267,901920,906759,957274,1063,10267,1920,6759,f,t,f,f,33,"ML",,"",3.8,0.55,"",-20,-55,0,9999,,,0.94,,,"",t,t,,"","","Deng","2018-10-09","Mollusca.NA.NA.Cephalopoda.Coleoidea.Teuthida.NA.Ommastrephidae.Illex.Argentinus","",""
690058,"Artemia salina","Brine shrimp","Arthropoda","Crustacea","NA","Branchiopoda","NA","Anostraca","NA","Artemiidae","Artemia","salina","",f,2,6,26,10,2,47,1866,6,,7884,901006,910024,900250,900787,907884,1006,10024,250,787,f,f,f,f,4,"",,"",2,0,"",90,-90,0,9999,,,,,,"",t,f,,"","","Deng","2018-10-09","Arthropoda.Crustacea.NA.Branchiopoda.NA.Anostraca.NA.Artemiidae.Artemia.Salina","",""
600339,"Menidia menidia","Atlantic silverside","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Atheriniformes","NA","Atherinopsidae","Menidia","menidia","",f,1,6,1,12,1,37,644,1,339,,6,49,623,3456,339,,,,,f,t,f,f,12,"",,"",3.19,0.1,"",51,29,0,9999,12.3,11,1.16,0,3.11,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"13.34","High","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Atheriniformes.NA.Atherinopsidae.Menidia.Menidia","",""
623049,"Cheilopogon unicolor","Limpidwing flyingfish","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Beloniformes","NA","Exocoetidae","Cheilopogon","unicolor","",f,1,6,2,12,1,37,,1,23049,,6,51,206,4971,23049,,,,,f,f,f,f,31,"",,"",3.7,0.5,"",37,-22,0,9999,31.16,178,0.87,0,3.12,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"20.36","High","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Beloniformes.NA.Exocoetidae.Cheilopogon.Unicolor","",""
605807,"Monodactylus argenteus","Silver moony","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Monodactylidae","Monodactylus","argenteus","",f,1,6,1,3,2,39,1494,1,5807,,6,60,333,7023,5807,,,,,f,f,f,f,27,"",20,"",2.95,0.33,"",31,-42,0,9999,27,556,,0.03,2.98,"SLmax_old; SLinf from SLmax of Estimates table; .",t,f,,"22.94","","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Monodactylidae.Monodactylus.Argenteus","",""
