area_data_key,taxon_key,fishing_entity_id,gear_id,time_key,year,area_key,eez_id,fao_id,data_layer_id,marine_layer_id,catch_type_id,catch_status,reporting_status_id,reporting_status,sector_type_id,end_use_type_id,score,catch_sum,real_value,primary_production_required,catch_trophic_level,catch_max_length,marine_layer_id_1,remarks,name,bread_crumb_name,show_sub_areas,last_report_year,eez_name,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name,sector_type
1077486,490043,7,102,61,2011,10,36,71,1,1,1,R,1,R,1,1,3,67.668,782552.785742159,13816.0323239898,223.98108,1218.024,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Penaeidae,Commercial shrimps and prawns,26,10,Shrimps,Crustaceans,Industrial
1068886,600898,7,302,63,2013,10,36,71,3,1,2,D,2,U,1,4,1,14.6257720258314,21441.3817898688,32743.0250021102,63.6221083123665,4797.25322447269,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Prionace glauca,Blue shark,20,9,Large sharks (>=90 cm),Sharks & rays,Industrial
1068894,390013,7,601,62,2012,10,36,71,1,1,1,R,1,R,1,1,3,399.190789999999,1533631.3313666,107443.590469208,1369.2244097,7983.81579999998,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Decapoda,"Crabs, lobsters, shrimps",27,10,"Lobsters, crabs",Crustaceans,Industrial
1068918,604465,7,200,60,2010,10,36,71,1,1,1,R,1,R,1,1,3,33.0137272093023,1334.07774600954,16546.0586117556,122.150790674419,3004.24917604651,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Diagramma pictum,Painted sweetlips,18,3,Large reef assoc. fish (>=90 cm),Perch-likes,Industrial
1068993,603542,7,700,64,2014,10,36,71,1,1,1,R,1,R,3,1,3,1.74911529682285,288.709434234221,1595.21210998566,6.92649657541847,311.342522834467,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Rachycentron canadum,Cobia,3,3,Large pelagics (>=90 cm),Perch-likes,Artisanal
1069024,400421,7,200,64,2014,10,36,71,1,1,2,D,2,U,1,4,3,7.204984173,10562.506797618,3218.34821178648,26.29819223145,497.143907937,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Centrolophidae,Medusafishes,14,3,Medium benthopelagics (30 - 89 cm),Perch-likes,Industrial
1069031,600391,7,302,60,2010,10,36,71,1,1,1,R,1,R,1,1,3,0.012,0.02004096066,14.427173215409,0.04896,0.828000000000001,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Brama brama,Atlantic pomfret,8,3,Medium bathypelagics (30 - 89 cm),Perch-likes,Industrial
1069071,600143,91,302,63,2013,10,36,71,3,1,2,D,2,U,1,4,1,1.16163535051465,1702.95742385448,2985.8626060781,5.12281189576962,268.337765968885,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Thunnus albacares,Yellowfin tuna,3,4,Large pelagics (>=90 cm),Tuna & billfishes,Industrial
1069113,100339,213,500,65,2015,10,36,71,3,1,1,R,1,R,1,1,1,1.03404585726465,1515.91122674997,231.494031890738,3.46405362183656,51.7022928632323,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Marine pelagic fishes not identified,Pelagic fishes,2,12,Medium pelagics (30 - 89 cm),Other fishes & inverts,Industrial
1069125,600084,7,302,60,2010,10,36,71,1,1,1,R,1,R,1,3,3,1.7e-5,0.024922,0.0323928322053752,7.276e-5,0.001547,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Aprion virescens,Green jobfish,18,3,Large reef assoc. fish (>=90 cm),Perch-likes,Industrial
1069164,400319,7,400,63,2013,10,36,71,1,1,1,R,1,R,1,1,3,2.6866,15.72292243536,3708.54036528211,11.122524,147.763,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Bramidae,Pomfrets,2,3,Medium pelagics (30 - 89 cm),Perch-likes,Industrial
1069219,600868,213,302,64,2014,10,36,71,3,1,1,R,1,R,1,1,1,3.57465389283563,5240.44260689703,11567.3532544041,16.1216890566887,1025.92566724383,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Carcharhinus falciformis,Silky shark,20,9,Large sharks (>=90 cm),Sharks & rays,Industrial
1069254,290004,7,700,62,2012,10,36,71,1,1,1,R,1,R,3,1,3,0.00773028364450501,0.352847968112419,0.131279051310095,0.0172385325272462,0.100493687378565,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Bivalvia,Clams,29,11,Other demersal invertebrates,Molluscs,Artisanal
1069352,600143,187,302,60,2010,10,36,71,3,1,2,D,2,U,1,4,1,0.0419251742917295,61.4623055116755,107.764291191311,0.184890018626527,9.68471526138952,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Thunnus albacares,Yellowfin tuna,3,4,Large pelagics (>=90 cm),Tuna & billfishes,Industrial
