MPA,MPA_Name,cg_name,time_period,Data_Type,RCP,Model,sector_type_id,total_sum,baseline_sum,delta_mean,sector_name,eez_name,baseline_importance
BeringSea,Bering Sea,Cod-likes,End of Century,Abd,85,MPA,1,3376240.9794975533,1941460.704577377,73.90210224381046,Industrial,Alaska,74.04444366699914
BeringSea,Bering Sea,Cod-likes,End of Century,Abd,85,MPA,3,452317.9153594966,202651.27975053742,123.20012778419036,Artisanal,Alaska,32.69783222006126
BeringSea,Bering Sea,Cod-likes,End of Century,Catch,85,MPA,1,38925.186307546675,22750.733823331415,71.0942012236457,Industrial,Alaska,NA
BeringSea,Bering Sea,Cod-likes,End of Century,Catch,85,MPA,3,2772.5392636055626,1242.211257880671,123.19386062687718,Artisanal,Alaska,NA
BeringSea,Bering Sea,Cod-likes,End of Century,nonuse_value,85,MPA,1,3060416249.5386157,1824465290.1514714,67.74318843218622,Industrial,Alaska,NA
BeringSea,Bering Sea,Cod-likes,End of Century,nonuse_value,85,MPA,3,635425725.478561,285435858.51329565,122.61594208527336,Artisanal,Alaska,NA
BeringSea,Bering Sea,Cod-likes,End of Century,revenue,85,MPA,1,33881179.88976069,20785908.13026259,63.000719898460666,Industrial,Alaska,97.1826596525167
BeringSea,Bering Sea,Cod-likes,End of Century,revenue,85,MPA,3,3894799.975471302,1749595.9205453445,122.61140013731304,Artisanal,Alaska,60.01228984899129
BeringSea,Bering Sea,Cod-likes,Mid Century,Abd,85,MPA,1,2073841.392606508,1941460.704577377,6.818612795871546,Industrial,Alaska,74.04444366699914
BeringSea,Bering Sea,Cod-likes,Mid Century,Abd,85,MPA,3,233541.03109164452,202651.27975053742,15.242810891267112,Artisanal,Alaska,32.69783222006126
BeringSea,Bering Sea,Cod-likes,Mid Century,Catch,85,MPA,1,24187.309859832218,22750.733823331415,6.314416263037459,Industrial,Alaska,NA
BeringSea,Bering Sea,Cod-likes,Mid Century,Catch,85,MPA,3,1431.103086176399,1242.211257880671,15.206095347903654,Artisanal,Alaska,NA
BeringSea,Bering Sea,Cod-likes,Mid Century,nonuse_value,85,MPA,1,1975239215.755956,1824465290.1514714,8.264006249851262,Industrial,Alaska,NA
BeringSea,Bering Sea,Cod-likes,Mid Century,nonuse_value,85,MPA,3,324216700.5198611,285435858.51329565,13.586534715209595,Artisanal,Alaska,NA
BeringSea,Bering Sea,Cod-likes,Mid Century,revenue,85,MPA,1,22401960.77497027,20785908.13026259,7.774751214044088,Industrial,Alaska,97.1826596525167
BeringSea,Bering Sea,Cod-likes,Mid Century,revenue,85,MPA,3,1986654.2480229745,1749595.9205453445,13.549318713759892,Artisanal,Alaska,60.01228984899129
BeringSea,Bering Sea,Cod-likes,Today,Abd,85,MPA,1,1941460.704577377,1941460.704577377,0,Industrial,Alaska,74.04444366699914
BeringSea,Bering Sea,Cod-likes,Today,Abd,85,MPA,3,202651.27975053742,202651.27975053742,0,Artisanal,Alaska,32.69783222006126
