taxon_key,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name
601456,Etrumeus whiteheadi,Whitehead's round herring,1,2,Small pelagics (<30 cm),Herring-likes
605123,Exocoetus monocirrhus,Barbel flyingfish,1,12,Small pelagics (<30 cm),Other fishes & inverts
200538,Chondrichthyes,"Sharks, rays, chimaeras",20,9,Large sharks (>=90 cm),Sharks & rays
400313,Echeneidae,Remoras,3,3,Large pelagics (>=90 cm),Perch-likes
400176,Percopsidae,Trout-perches,4,12,Small demersals (<30 cm),Other fishes & inverts
690023,Illex argentinus,Argentine shortfin squid,25,12,Cephalopods,Other fishes & inverts
690058,Artemia salina,Brine shrimp,26,10,Shrimps,Crustaceans
600339,Menidia menidia,Atlantic silverside,1,12,Small pelagics (<30 cm),Other fishes & inverts
623049,Cheilopogon unicolor,Limpidwing flyingfish,2,12,Medium pelagics (30 - 89 cm),Other fishes & inverts
605807,Monodactylus argenteus,Silver moony,1,3,Small pelagics (<30 cm),Perch-likes
601606,Dorosoma petenense,Threadfin shad,1,2,Small pelagics (<30 cm),Herring-likes
601030,Cheilopogon melanurus,Atlantic flyingfish,1,12,Small pelagics (<30 cm),Other fishes & inverts
605122,Cypselurus poecilopterus,Yellowing flyingfish,1,12,Small pelagics (<30 cm),Other fishes & inverts
600340,Eleutheronema tetradactylum,Fourfinger threadfin,6,3,Large demersals (>=90 cm),Perch-likes
601625,Ilisha africana,West African ilisha,2,2,Medium pelagics (30 - 89 cm),Herring-likes
601199,Umbrina coroides,Sand drum,5,3,Medium demersals (30 - 89 cm),Perch-likes
600238,Salmo trutta,Sea trout,3,6,Large pelagics (>=90 cm),"Salmon, smelts, etc"
603241,Menidia beryllina,Inland silverside,1,12,Small pelagics (<30 cm),Other fishes & inverts
604712,Acipenser gueldenstaedtii,Danube sturgeon,6,12,Large demersals (>=90 cm),Other fishes & inverts
601604,Dorosoma cepedianum,American gizzard shad,2,2,Medium pelagics (30 - 89 cm),Herring-likes
601517,Sardinella sindensis,Sind sardinella,1,2,Small pelagics (<30 cm),Herring-likes
601507,Sardinella fimbriata,Fringescale sardinella,1,2,Small pelagics (<30 cm),Herring-likes
600625,Coilia dussumieri,Goldspotted grenadier anchovy,1,1,Small pelagics (<30 cm),Anchovies
601619,Anodontostoma chacunda,Chacunda gizzard shad,1,2,Small pelagics (<30 cm),Herring-likes
601608,Clupanodon thrissa,Chinese gizzard shad,1,2,Small pelagics (<30 cm),Herring-likes
600692,Lichia amia,Leerfish,3,3,Large pelagics (>=90 cm),Perch-likes
601529,Lile stolifera,Pacific piquitinga,1,2,Small pelagics (<30 cm),Herring-likes
601589,Brevoortia patronus,Gulf menhaden,2,2,Medium pelagics (30 - 89 cm),Herring-likes
600611,Setipinna taty,Scaly hairfin anchovy,1,1,Small pelagics (<30 cm),Anchovies
601592,Brevoortia tyrannus,Atlantic menhaden,2,2,Medium pelagics (30 - 89 cm),Herring-likes
690354,Martialia hyadesi,Sevenstar flying squid,25,12,Cephalopods,Other fishes & inverts
603703,Astroscopus guttatus,Northern stargazer,5,3,Medium demersals (30 - 89 cm),Perch-likes
601454,Dussumieria elopsoides,Slender rainbow sardine,1,2,Small pelagics (<30 cm),Herring-likes
601481,Harengula thrissina,Pacific flatiron herring,1,2,Small pelagics (<30 cm),Herring-likes
601077,Lobotes surinamensis,Tripletail,15,3,Large benthopelagics (>=90 cm),Perch-likes
605030,Sphyraena afra,Guinean barracuda,3,3,Large pelagics (>=90 cm),Perch-likes
601471,Clupeonella engrauliformis,Anchovy sprat,1,2,Small pelagics (<30 cm),Herring-likes
600006,Coryphaena hippurus,Common dolphinfish,3,3,Large pelagics (>=90 cm),Perch-likes
600039,Aphia minuta,Transparent goby,4,3,Small demersals (<30 cm),Perch-likes
601236,Sphyraena guachancho,Guachanche barracuda,3,3,Large pelagics (>=90 cm),Perch-likes
600113,Sarda chiliensis,Eastern Pacific bonito,2,4,Medium pelagics (30 - 89 cm),Tuna & billfishes
601765,Sphyraena sphyraena,European barracuda,3,3,Large pelagics (>=90 cm),Perch-likes
600943,Acanthurus chirurgus,Doctorfish,1,1,Small pelagics (<30 cm),Anchovies
600385,Chloroscombrus chrysurus,Atlantic bumper,2,3,Medium pelagics (30 - 89 cm),Perch-likes
609888,Cubiceps capensis,Cape fathead,2,3,Medium pelagics (30 - 89 cm),Perch-likes
