eez_name,sector_type,fg_name,cg_name,catch,value,catch_perc,value_perc
Alaska,Artisanal,Large demersals (>=90 cm),Cod-likes,1126012.4943952085,347045065152.3601,32.69783222006126,60.01228984899129
Alaska,Artisanal,Medium demersals (30 - 89 cm),"Salmon, smelts, etc",643467.5181056365,137776234047.86795,18.68539918589278,23.82476549076752
Alaska,Artisanal,Medium pelagics (30 - 89 cm),"Salmon, smelts, etc",409365.8963746506,47027075516.96469,11.887414627190894,8.132092255613777
Alaska,Industrial,Medium benthopelagics (30 - 89 cm),Cod-likes,9251982.69485009,12480419736035.67,66.72245017525613,94.80303740954231
Alaska,Industrial,Small to medium flatfishes (<90 cm),Flatfishes,1711795.0177319334,165316762129.9021,12.344938544302066,1.2557695587250979
Alaska,Industrial,Large demersals (>=90 cm),Cod-likes,1015294.8055635652,313267224521.83624,7.321993491743012,2.379622242974397
Alaska,Recreational,Large flatfishes (>=90 cm),Flatfishes,24254.766258800002,659587459.3165802,47.59125136637084,38.23136487385118
Alaska,Recreational,Large demersals (>=90 cm),"Salmon, smelts, etc",11809.4265,209830481.1333167,23.171750206014437,12.162307776705667
Alaska,Recreational,Large benthopelagics (>=90 cm),"Salmon, smelts, etc",9101.33,140223071.48653868,17.858085259475168,8.127685470685872
Alaska,Subsistence,Large benthopelagics (>=90 cm),"Salmon, smelts, etc",20288.57750716778,753808007.4208438,48.95200700890057,38.33301725355435
Alaska,Subsistence,Medium pelagics (30 - 89 cm),"Salmon, smelts, etc",6496.103033710175,725082731.971205,15.673710053076663,36.872265353091514
Alaska,Subsistence,Medium pelagics (30 - 89 cm),Herring-likes,3490.558532325102,110644234.58754358,8.421972692712894,5.626535287098285
Australia,Artisanal,Medium demersals (30 - 89 cm),Other fishes & inverts,6436.635175635791,215228176.18952963,36.481318469711894,90.930716708181
Australia,Artisanal,Large demersals (>=90 cm),Perch-likes,3230.1394792131177,12329730.151336139,18.307662905739132,5.209128374029337
Australia,Artisanal,"Lobsters, crabs",Crustaceans,2882.7423366213748,3941318.3066056995,16.338698462588845,1.6651486099066117
Australia,Industrial,Shrimps,Crustaceans,99301.87148805156,869364947.2424453,37.802324974580735,10.257326140169559
Australia,Industrial,Large pelagics (>=90 cm),Tuna & billfishes,48911.32926110691,7250370947.091287,18.619608431947416,85.5445341768369
Australia,Industrial,Medium reef assoc. fish (30 - 89 cm),Perch-likes,25256.32805687964,45781322.543211766,9.61460148297069,0.5401574539478888
Australia,Recreational,Large demersals (>=90 cm),Perch-likes,15980.351217810858,60847206.743446074,21.389427357867,24.45261514187479
Australia,Recreational,Medium reef assoc. fish (30 - 89 cm),Perch-likes,12752.391208909346,12529412.659072617,17.06885797967051,5.035184392240601
Australia,Recreational,"Lobsters, crabs",Crustaceans,10992.022534851836,27334412.869633403,14.712634554815404,10.984857215360158
Australia,Subsistence,Medium reef assoc. fish (30 - 89 cm),Perch-likes,4544.527000063668,4736560.305083634,29.36857306557365,15.410350740373222
Australia,Subsistence,Large sharks (>=90 cm),Sharks & rays,2801.443770391051,9427026.61268827,18.104063648136112,30.670735129127344
Australia,Subsistence,Medium pelagics (30 - 89 cm),Perch-likes,2244.2405148271887,3027793.256335035,14.503190658895749,9.85089454036536
Palau,Artisanal,Medium reef assoc. fish (30 - 89 cm),Perch-likes,4573.915389740455,752559.6231943527,80.30317810076625,86.91914485487844
Palau,Artisanal,Large reef assoc. fish (>=90 cm),Perch-likes,284.75419728984826,11163.508794786305,4.999363799163975,1.289363138968391
Palau,Artisanal,Small reef assoc. fish (<30 cm),Perch-likes,283.6270328854645,21306.490653724304,4.979574433554566,2.460857439599709
Palau,Industrial,Large pelagics (>=90 cm),Tuna & billfishes,443392.7242555003,59965900877.25898,99.41386071026942,99.9976465873741
Palau,Subsistence,Medium reef assoc. fish (30 - 89 cm),Perch-likes,8410.918244349845,1222937.458544787,83.31553442302733,92.32856037397694
Palau,Subsistence,Large reef assoc. fish (>=90 cm),Perch-likes,545.7962634544259,21391.49637377922,5.406461703077932,1.6150016917352052
Palau,Subsistence,Medium demersals (30 - 89 cm),Perch-likes,505.3835236055963,55661.165683039355,5.006147620811605,4.20227155554433
